id,status,chance_of_playing_next_round,chance_of_playing_this_round,news,news_added
601,u,0.0,0.0,has joined Aris Limassol permanently.,
602,a,,,,
603,n,0.0,0.0,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,
607,u,0.0,0.0,has joined Marseille permanently.,
608,a,100.0,100.0,,
609,d,75.0,75.0,Groin Injury - 75% chance of playing,
610,n,0.0,0.0,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,
611,u,0.0,0.0,Has joined Swansea City on loan for the rest of the season.,
612,d,75.0,100.0,Back injury - 75% chance of playing,
613,a,100.0,100.0,,
614,a,,,,
616,u,0.0,0.0,Has joined Fenerbahçe on loan for the rest of the season.,
617,u,0.0,0.0,has joined Genoa on loan for the rest of the season.,
620,a,100.0,100.0,,
621,a,,,,
622,u,0.0,0.0,has joined Stevenage on loan for the rest of the season.,
623,a,100.0,100.0,,
624,a,,,,
625,u,0.0,0.0,has joined AC Milan on loan for the rest of the season.,
626,a,,,,
659,a,,,,
671,a,,,,
679,a,,,,
708,a,,,,
718,a,,,,
738,d,25.0,100.0,Back injury - 25% chance of playing,
747,a,,,,
752,a,,,,
528,a,,,,
758,a,,,,
785,a,,,,
627,a,,,,
770,a,,,,
716,a,,,,
628,a,,,,
629,d,25.0,25.0,Ankle injury - 25% chance of playing,
631,n,0.0,0.0,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,
1,a,,,,
2,a,,,,
535,a,100.0,100.0,,
536,a,100.0,100.0,,
632,a,100.0,100.0,,
633,a,100.0,100.0,,
634,a,100.0,100.0,,
642,d,75.0,100.0,Calf injury - 75% chance of playing,
643,a,100.0,100.0,,
644,i,0.0,0.0,Hamstring injury - Expected back 24 Jan,
645,a,100.0,100.0,,
540,a,,,,
649,u,0.0,0.0,Has joined FC Metz on loan for the rest of the season.,
650,a,100.0,75.0,,
652,a,,,,
653,u,0.0,0.0,Signed by CD Tondela,
654,a,100.0,100.0,,
655,u,0.0,0.0,has joined Borussia Dortmund permanently.,
570,a,,,,
200,a,100.0,100.0,,
201,u,0.0,0.0,has joined Swansea City on loan for the rest of the season.,
202,a,100.0,100.0,,
203,a,,,,
618,a,,,,
619,a,100.0,100.0,,
767,a,,,,
648,i,0.0,0.0,Calf injury - Expected back 18 Jan,
651,a,,,,
28,u,0.0,0.0,has joined Shrewsbury Town on loan for the rest of the season.,
29,u,0.0,0.0,has joined Hamburger permanently.,
131,a,,,,
36,a,100.0,100.0,,
757,a,,,,
187,a,100.0,100.0,,
188,a,,,,
204,u,0.0,0.0,has joined Kocaelispor  permanently.,
776,a,,,,
156,a,,,,
247,i,0.0,0.0,Thigh injury - Unknown return date,
741,a,100.0,100.0,,
590,u,0.0,0.0,has joined Girona permanently.,
411,a,100.0,100.0,,
412,u,0.0,0.0,Has joined Girona on loan for the rest of the season.,
413,n,0.0,0.0,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,
414,a,100.0,100.0,,
415,d,25.0,25.0,Knock - 25% chance of playing,
416,a,,,,
417,a,100.0,100.0,,
418,a,100.0,100.0,,
26,a,100.0,100.0,,
30,a,100.0,100.0,,
31,a,100.0,100.0,,
266,a,,,,
54,a,,,,
55,i,0.0,0.0,Knee injury - Expected back 07 Feb,
56,u,0.0,0.0,Season-long loan to Benfica,
57,u,0.0,0.0,Has joined Preston North End on loan for the rest of the season.,
58,a,100.0,100.0,,
59,i,0.0,0.0,Knock - Unknown return date,
144,a,,,,
145,a,100.0,100.0,,
146,a,100.0,100.0,,
787,a,,,,
366,a,100.0,100.0,,
374,a,100.0,100.0,,
481,a,,,,
467,a,,,,
646,d,75.0,100.0,Groin Injury - 75% chance of playing,
647,u,0.0,0.0,Has joined Real Sociedad permanently.,
695,a,,,,
709,a,100.0,100.0,,
777,a,,,,
778,a,,,,
